Number,Number,-
Type,Type,-
Description,Description,-
INFO,INFO,-
INFO_ID,INFO_ID,-
INFO_ID_AA,INFO_ID_AA,AA : ancestral allele
INFO_ID_CC,INFO_ID_CC,"AC : allele count in genotypes, for each ALT allele, in the same order as listed"
INFO_ID_AF,INFO_ID_AF,"AF : allele frequency for each ALT allele in the same order as listed: use this when estimated from primary data, not called genotypes"
INFO_ID_AN,INFO_ID_AN,AN : total number of alleles in called genotypes
INFO_ID_BQ,INFO_ID_BQ,BQ : RMS base quality at this position
INFO_ID_CIGAR,INFO_ID_CIGAR,CIGAR : cigar string describing how to align an alternate allele to the reference allele
INFO_ID_DB,INFO_ID_DB,DB : dbSNP membership
INFO_ID_DP,INFO_ID_DP,"DP : combined depth across samples, e.g. DP=154"
INFO_ID_END,INFO_ID_END,END : end position of the variant described in this record (for use with symbolic alleles)
INFO_ID_H2,INFO_ID_H2,H2 : membership in hapmap2
INFO_ID_H3,INFO_ID_H3,H3 : membership in hapmap3
INFO_ID_MQ,INFO_ID_MQ,"MQ : RMS mapping quality, e.g. MQ=52"
INFO_ID_MQ0,INFO_ID_MQ0,MQ0 : Number of MAPQ == 0 reads covering this record
INFO_ID_NS,INFO_ID_NS,NS : Number of samples with data
INFO_ID_SB,INFO_ID_SB,SB : strand bias at this position
INFO_ID_SOMATIC,INFO_ID_SOMATIC,"SOMATIC : indicates that the record is a somatic mutation, for cancer genomics"
INFO_ID_VALIDATED,INFO_ID_VALIDATED,VALIDATED : validated by follow-up experiment
INFO_ID_1000G,INFO_ID_1000G,1000G : membership in 1000 Genomes